Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey
0,179,0.4985915,0.7546668,5.825376,0,0.3514524,0.9391012,0,0.9481333,0,15,0
1,189,0.4989591,0.7548929,6.270463,0,0.359801,0.93929,0,0.9464468,0,16.6,0
2,180,0.4991393,0.7546958,6.714427,0,0.3729539,0.9399827,0,0.9451666,0,1.6,0
3,259,0.4989407,0.7539605,6.571668,1,0.4299692,0.9377657,0,0.9447318,0,20.4,0
4,268,0.4987835,0.7535643,6.652118,1,0.463895,0.9359809,0,0.9446439,0,21.6,0
5,260,0.49862,0.7533188,6.849452,1,0.4854793,0.9348295,0,0.9447404,0,1.6,0
6,252,0.4985915,0.75304,7.039018,1,0.5051183,0.9342898,0,0.9447221,0,2.4,0
7,256,0.4985965,0.752699,7.148379,1,0.5242164,0.9337276,0,0.9449188,0,5.6,0
8,233,0.4985376,0.7525051,7.234396,1,0.543575,0.9332129,0,0.9449456,0,4,0
9,187,0.4985821,0.7523472,7.291928,1,0.5575377,0.9323263,0,0.9449238,0,2,0
10,193,0.4987156,0.7522834,7.325064,1,0.5712305,0.9313676,0,0.9449261,0,4.8,0
11,194,0.4987943,0.7520752,7.34304,1,0.5844185,0.9306064,0,0.9449464,0,5.2,0
12,126,0.4989486,0.7519576,7.344812,1,0.5926404,0.9305506,0,0.9449813,0,2.8,0
13,105,0.4990553,0.7518001,7.331788,1,0.6000198,0.9303733,0,0.9451252,0,4,0
14,107,0.4991049,0.7517994,7.321683,1,0.6063735,0.9304279,0,0.9454519,0,6.4,0
15,100,0.4991528,0.7518163,7.310267,1,0.6114631,0.9305778,0,0.9456313,0,3.4,0
16,98,0.4992344,0.7518432,7.298457,1,0.6160767,0.9306761,0,0.945837,0,5.2,0
17,104,0.4992962,0.7517801,7.271692,1,0.6202107,0.9308183,0,0.9459446,0,9,0
18,102,0.4993031,0.7517253,7.260853,1,0.6237808,0.9310367,0,0.9459552,0,4.4,0
19,101,0.4992555,0.7516245,7.260646,1,0.6271964,0.9312645,0,0.9460605,0,4.2,0
20,122,0.4992208,0.7515413,7.235132,1,0.6306834,0.9317769,0,0.9458923,0,8.6,0
21,111,0.4992736,0.7514305,7.228137,1,0.63383,0.9322672,0,0.945644,0,6,0
